adm_cd,adm_nm
11130680,홍은2동
11130690,남가좌1동
11130700,남가좌2동
11130710,북가좌1동
11130720,북가좌2동
11130730,충현동
11130740,북아현동
11130750,신촌동
11130760,연희동
11140590,용강동
11140600,대흥동
11140610,염리동
11140630,신수동
11140660,서교동
11140680,합정동
11140690,망원1동
11140700,망원2동
11140710,연남동
11140720,성산1동
11140730,성산2동
11140740,상암동
11140750,도화동
11140760,서강동
11140770,공덕동
11140780,아현동
11150510,목1동
11150520,목2동
11150530,목3동
11150540,목4동
11150570,신월1동
11150580,신월2동
11150590,신월3동
11150600,신월4동
11150610,신월5동
11150620,신월6동
11150630,신월7동
11150640,신정1동
11150650,신정2동
11150660,신정3동
11150690,신정6동
11150700,신정7동
11150710,목5동
11150720,신정4동
11160510,염창동
11160520,등촌1동
11160530,등촌2동
11160540,등촌3동
11160550,화곡본동
11160570,화곡2동
11160580,화곡3동
11160590,화곡4동
11160610,화곡6동
11160630,화곡8동
11160650,가양2동
11160660,가양3동
11160670,발산1동
11160690,공항동
11160700,방화1동
11160710,방화2동
11160730,화곡1동
11160740,우장산동
11160751,가양1동
11160761,방화3동
11170510,신도림동
11170520,구로1동
11170540,구로3동
11170550,구로4동
11170560,구로5동
11170610,고척1동
11170620,고척2동
11170640,개봉2동
11170650,개봉3동
11170670,오류1동
11170690,수궁동
11170700,가리봉동
11170710,구로2동
11170720,개봉1동
11170730,오류2동
11170740,항동
11180510,가산동
11180520,독산1동
11180530,독산2동
11180540,독산3동
11180550,독산4동
11180570,시흥1동
11180580,시흥2동
11180590,시흥3동
11180600,시흥4동
11180610,시흥5동
11190540,여의동
11190550,당산1동
11190560,당산2동
11190610,양평1동
11190620,양평2동
11190630,신길1동
11190650,신길3동
11190660,신길4동
11190670,신길5동
11190680,신길6동
11190690,신길7동
11190700,대림1동
11190710,대림2동
11190720,대림3동
11190730,영등포본동
11190740,영등포동
11190750,도림동
11190760,문래동
11200520,노량진2동
11200530,상도1동
11200540,상도2동
11200550,상도3동
11200560,상도4동
11200630,사당1동
11200650,사당3동
11200660,사당4동
11200670,사당5동
11200680,대방동
11200690,신대방1동
11200700,신대방2동
11200710,흑석동
11200720,노량진1동
11200730,사당2동
11210520,보라매동
11210540,청림동
11210570,행운동
11210580,낙성대동
11210610,중앙동
11210620,인헌동
11210630,남현동
11210640,서원동
11210650,신원동
11210660,서림동
11210680,신사동
11210690,신림동
11210710,난향동
11210720,조원동
11210730,대학동
11210780,은천동
11210790,성현동
11210800,청룡동
11210810,난곡동
11210820,삼성동
11210830,미성동
11220510,서초1동
11220520,서초2동
11220530,서초3동
11220540,서초4동
11220550,잠원동
11220560,반포본동
11220570,반포1동
11220580,반포2동
11220590,반포3동
11220600,반포4동
11220610,방배본동
11220620,방배1동
11220630,방배2동
11220640,방배3동
11220650,방배4동
11220660,양재1동
11220670,양재2동
11220680,내곡동
11230510,신사동
11230511,개포3동
11230520,논현1동
11230530,논현2동
11230580,삼성1동
11230590,삼성2동
11230600,대치1동
11230630,대치4동
11230640,역삼1동
11230650,역삼2동
11230660,도곡1동
11230670,도곡2동
11230680,개포1동
11230710,개포4동
11230720,일원본동
11230730,일원1동
11230750,수서동
11230760,세곡동
11230770,압구정동
11230780,청담동
11230790,대치2동
11230800,개포2동
11240510,풍납1동
11240520,풍납2동
11240530,거여1동
11240540,거여2동
11240550,마천1동
11240560,마천2동
11240570,방이1동
11240580,방이2동
11240590,오륜동
11240600,오금동
11240610,송파1동
11240620,송파2동
11240630,석촌동
11240640,삼전동
11240650,가락본동
11240660,가락1동
11240670,가락2동
11240680,문정1동
11240690,문정2동
11240710,잠실본동
11240750,잠실4동
11240770,잠실6동
11240780,잠실7동
11240790,잠실2동
11240800,잠실3동
11240810,장지동
11240820,위례동
11250530,명일1동
11250540,명일2동
11250550,고덕1동
11250560,고덕2동
11250580,암사2동
11250590,암사3동
11250610,천호1동
11250630,천호3동
11250650,성내1동
11250660,성내2동
11250670,성내3동
11250700,둔촌1동
11250710,둔촌2동
11250720,암사1동
11250730,천호2동
11250740,길동
11250750,강일동
11250760,상일1동
11250770,상일2동
21010510,중앙동
21010520,동광동
21010530,대청동
21010540,보수동
21010560,부평동
21010570,광복동
21010580,남포동
21010590,영주1동
21010600,영주2동
21020510,동대신1동
21020520,동대신2동
21020530,동대신3동
21020540,서대신1동
21020560,서대신3동
21020570,서대신4동
21020590,부민동
21020610,아미동
21020630,초장동
21020640,충무동
21020650,남부민1동
21020680,암남동
21020690,남부민2동
21030510,초량1동
21030520,초량2동
21030530,초량3동
21030550,초량6동
21030560,수정1동
21030570,수정2동
21030590,수정4동
21030600,수정5동
21030660,범일2동
21030680,범일5동
21030700,좌천동
21030710,범일1동
21040530,남항동
21040540,영선1동
21040550,영선2동
21040590,봉래1동
21040630,청학1동
21040640,청학2동
21040650,동삼1동
21040660,동삼2동
21040670,동삼3동
21040680,신선동
21040690,봉래2동
21050520,부전2동
21050540,연지동
21050550,초읍동
21050560,양정1동
21050570,양정2동
21050610,전포2동
21050640,부암1동
21050660,부암3동
21050680,당감2동
21050700,당감4동
21050720,가야2동
21050740,개금1동
21050750,개금2동
21050760,개금3동
21050770,범천1동
21050800,당감1동
21050810,가야1동
21050820,부전1동
21050830,전포1동
21050840,범천2동
21060510,수민동
21060520,복산동
21060550,온천1동
21060560,온천2동
21060570,온천3동
21060580,사직1동
21060590,사직2동
21060600,사직3동
21060610,안락1동
21060620,안락2동
21060630,명장1동
21060640,명장2동
21060650,명륜동
21070530,대연3동
21070540,대연4동
21070550,대연5동
21070560,대연6동
21070570,용호1동
21070580,용호2동
21070590,용호3동
21070600,용호4동
21070610,용당동
21070620,감만1동
21070630,감만2동
21070660,문현1동
21070670,문현2동
21070680,문현3동
21070690,문현4동
21070700,대연1동
21070710,우암동
21080510,구포1동
21080520,구포2동
21080530,구포3동
21080540,금곡동
21080550,화명1동
21080560,덕천1동
21080570,덕천2동
21080580,덕천3동
21080590,만덕1동
21080600,만덕2동
21080610,만덕3동
21080620,화명2동
21080630,화명3동
21090530,중1동
21090540,중2동
21090560,송정동
21090580,반여2동
21090590,반여3동
21090620,반송2동
21090640,재송1동
21090650,재송2동
21090660,좌1동
21090670,좌2동
21090680,좌3동
21090690,좌4동
21090700,반여1동
21090710,반여4동
21090720,반송1동
21090730,우1동
21090740,우2동
21090750,우3동
21100510,괴정1동
21100520,괴정2동
21100530,괴정3동
21100540,괴정4동
21100550,당리동
21100560,하단1동
21100570,하단2동
21100580,신평1동
21100590,신평2동
21100600,장림1동
21100610,장림2동
21100620,다대1동
21100630,다대2동
21100640,구평동
21100650,감천1동
21100660,감천2동
21110510,서1동
21110520,서2동
21110570,부곡1동
21110580,부곡2동
21110590,부곡3동
21110600,부곡4동
21110610,장전1동
21110640,선두구동
21110670,청룡노포동
21110680,남산동
21110690,구서1동
21110700,구서2동
21110710,금성동
21110720,서3동
21110730,금사회동동
21110740,장전2동
21120510,대저1동
21120520,대저2동
21120530,강동동
21120550,가락동
21120561,녹산동
21120562,신호동
21120580,가덕도동
21120590,명지1동
21120600,명지2동
21130510,거제1동
21130520,거제2동
21130530,거제3동
21130540,거제4동
21130550,연산1동
21130560,연산2동
21130570,연산3동
21130580,연산4동
21130590,연산5동
21130600,연산6동
21130620,연산8동
21130630,연산9동
21140510,남천1동
21140520,남천2동
21140530,수영동
21140540,망미1동
21140550,망미2동
21140560,광안1동
21140570,광안2동
21140580,광안3동
21140590,광안4동
21140600,민락동
21150510,삼락동
21150520,모라1동
21150540,모라3동
21150550,덕포1동
21150560,덕포2동
21150570,괘법동
21150600,주례1동
21150610,주례2동
21150620,주례3동
21150630,학장동
21150640,엄궁동
21150650,감전동
21510110,기장읍
21510111,일광읍
21510120,장안읍
21510130,정관읍
21510330,철마면
22010540,삼덕동
22010560,성내1동
22010590,성내2동
22010610,성내3동
22010620,대신동
22010640,남산1동
22010650,남산2동
22010660,남산3동
22010670,남산4동
22010680,대봉1동
22010690,대봉2동
22010700,동인동
22020510,신암1동
22020520,신암2동
22020530,신암3동
22020540,신암4동
22020550,신암5동
22020560,신천1·2동
22020580,신천3동
22020590,신천4동
22020600,효목1동
22020610,효목2동
22020620,도평동
22020630,불로·봉무동
22020650,지저동
22020660,동촌동
22020680,방촌동
22020690,해안동
22020710,공산동
22020730,안심1동
22020740,안심2동
22020760,안심3동
22020770,안심4동
22020780,혁신동
22030510,내당1동
22030520,내당2·3동
22030530,내당4동
22030540,비산1동
22030550,비산2·3동
22030560,비산4동
22030570,비산5동
22030580,비산6동
22030590,비산7동
22030600,평리1동
22030610,평리2동
22030620,평리3동
22030630,평리4동
22030640,평리5동
22030650,평리6동
22030660,상중이동
22030680,원대동
22040510,이천동
22040530,봉덕1동
22040540,봉덕2동
22040550,봉덕3동
22040560,대명1동
22040570,대명2동
22040580,대명3동
22040590,대명4동
22040600,대명5동
22040610,대명6동
22040640,대명9동
22040650,대명10동
22040660,대명11동
22050510,고성동
22050520,칠성동
22050550,침산1동
22050560,침산2동
22050570,침산3동
22050610,산격1동
22050620,산격2동
22050630,산격3동
22050640,산격4동
22050650,복현1동
22050660,복현2동
22050700,검단동
22050710,무태조야동
22050740,태전2동
22050750,관문동
22050760,읍내동
22050770,관음동
22050780,태전1동
22050790,구암동
22050810,노원동
22050820,동천동
22050830,국우동
22050840,대현동
22060510,범어1동
22060520,범어2동
22060530,범어3동
22060540,범어4동
22060550,만촌1동
22060560,만촌2동
22060570,만촌3동
22060580,수성1가동
22060590,수성2·3가동
22060600,수성4가동
22060610,황금1동
22060620,황금2동
22060630,중동
22060640,상동
22060650,파동
22060660,두산동
22060670,지산1동
22060680,지산2동
22060690,범물1동
22060700,범물2동
22060710,고산1동
22060720,고산2동
22060730,고산3동
22070550,두류3동
22070560,본리동
22070570,감삼동
22070580,죽전동
22070590,장기동
22070600,이곡1동
22070610,신당동
22070630,월성2동
22070650,상인1동
22070660,상인2동
22070670,상인3동
22070680,도원동
22070690,송현1동
22070700,송현2동
22070710,본동
22070720,용산1동
22070730,용산2동
22070740,이곡2동
22070750,성당동
22070760,두류1·2동
22070770,월성1동
22070780,진천동
22070790,유천동
22510110,화원읍
22510120,논공읍
22510130,다사읍
22510140,유가읍
22510150,옥포읍
22510160,현풍읍
22510310,가창면
22510320,하빈면
22510360,구지면
22520111,군위읍
22520311,소보면
22520312,효령면
22520313,부계면
22520314,우보면
22520315,의흥면
22520316,산성면
22520317,삼국유사면
23010520,연안동
23010530,신포동
23010540,신흥동
23010560,도원동
23010570,율목동
23010580,동인천동
23010630,용유동
23010640,운서동
23010650,영종동
23010670,개항동
23010681,영종1동
23010691,영종2동
23020510,만석동
23020520,화수1·화평동
23020530,화수2동
23020550,송현1·2동
23020570,송현3동
23020580,송림1동
23020590,송림2동
23020600,송림3·5동
23020610,송림4동
23020630,송림6동
23020640,금창동
23040510,옥련1동
23040520,선학동
23040530,연수1동
23040540,연수2동
23040550,연수3동
23040560,청학동
23040570,동춘1동
23040580,동춘2동
23040590,동춘3동
23040600,옥련2동
23040640,송도1동
23040650,송도3동
23040660,송도2동
23040680,송도4동
23040690,송도5동
23050510,구월1동
23050521,구월2동
23050530,구월3동
23050540,구월4동
23050550,간석1동
23050561,간석2동
23050570,간석3동
23050580,간석4동
23050590,만수1동
23050600,만수2동
23050610,만수3동
23050620,만수4동
23050630,만수5동
23050640,만수6동
23050670,남촌도림동
23050720,논현1동
23050730,논현2동
23050740,논현고잔동
23050750,장수서창동
23050760,서창2동
23060510,부평1동
23060520,부평2동
23060530,부평3동
23060540,부평4동
23060550,부평5동
23060560,부평6동
23060570,산곡1동
23060580,산곡2동
23060590,산곡3동
23060600,산곡4동
23060610,청천1동
23060620,청천2동
23060630,갈산1동
23060640,갈산2동
23060650,삼산1동
23060660,부개1동
23060670,부개2동
23060680,부개3동
23060690,일신동
23060700,십정1동
23060710,십정2동
23060720,삼산2동
23070510,효성1동
23070520,효성2동
23070530,계산1동
23070540,계산2동
23070550,계산3동
23070560,작전1동
23070570,작전2동
23070580,작전서운동
23070610,계양2동
23070620,계산4동
23070630,계양1동
23070640,계양3동
23080510,검암경서동
23080531,연희동
23080541,가정1동
23080550,가정2동
23080560,가정3동
23080580,석남1동
23080590,석남2동
23080600,석남3동
23080620,가좌1동
23080630,가좌2동
23080640,가좌3동
23080650,가좌4동
23080730,신현원창동
23080740,청라1동
23080780,청라2동
23080790,청라3동
23080800,검단동
23080810,불로대곡동
23080840,오류왕길동
23080850,당하동
23080860,마전동
23080870,원당동
23080880,아라동
23090520,숭의2동
23090540,숭의4동
23090560,용현2동
23090570,용현3동
23090590,용현5동
23090600,학익1동
23090610,학익2동
23090620,도화1동
23090650,주안1동
23090660,주안2동
23090670,주안3동
23090680,주안4동
23090690,주안5동
23090700,주안6동
23090710,주안7동
23090720,주안8동
23090730,관교동
23090740,문학동
23090750,숭의1·3동
23090760,용현1·4동
23090770,도화2·3동
23510110,강화읍
23510310,선원면
23510320,불은면
23510330,길상면
23510340,화도면
23510350,양도면
23510360,내가면
23510370,하점면
23510380,양사면
23510390,송해면
23510400,교동면
23510410,삼산면
23510420,서도면
23520310,북도면
23520320,연평면
23520330,백령면
23520340,대청면
23520350,덕적면
23520360,자월면
23520370,영흥면
24010510,충장동
24010540,동명동
24010560,계림1동
24010580,계림2동
24010590,산수1동
24010610,산수2동
24010620,지산1동
24010630,지산2동
24010640,서남동
24010680,학동
24010710,학운동
24010720,지원1동
24010730,지원2동
24020510,양동
24020530,양3동
24020540,농성1동
24020550,농성2동
24020560,광천동
24020570,유덕동
24020580,상무1동
24020590,상무2동
24020600,화정1동
24020610,화정2동
24020620,화정3동
24020630,화정4동
24020640,서창동
24020660,치평동
24020670,풍암동
24020680,금호1동
24020690,금호2동
24020700,동천동
24030510,양림동
24030520,방림1동
24030530,방림2동
24030540,사직동
24030570,월산동
24030600,월산4동
24030610,월산5동
24030620,백운1동
24030630,백운2동
24030640,주월1동
24030650,주월2동
24030670,송암동
24030680,봉선1동
24030690,봉선2동
24030700,대촌동
24030710,진월동
24030720,효덕동
24040510,중흥1동
24040540,중앙동
24040550,임동
24040560,신안동
24040570,용봉동
24040580,운암1동
24040590,운암2동
24040600,운암3동
24040610,동림동
24040620,우산동
24040630,풍향동
24040640,문화동
24040650,문흥1동
24040660,문흥2동
24040670,두암1동
24040680,두암2동
24040690,두암3동
24040700,삼각동
24040710,매곡동
24040720,오치1동
24040730,오치2동
24040740,석곡동
24040780,일곡동
24040800,양산동
24040810,건국동
24040820,신용동
24040831,중흥동
24050511,송정1동
24050512,송정2동
24050513,신흥동
24050514,어룡동
24050515,비아동
24050516,첨단2동
24050517,수완동
24050518,임곡동
24050519,본량동
24050521,신창동
24050540,도산동
24050580,우산동
24050590,월곡1동
24050600,월곡2동
24050630,하남동
24050650,동곡동
24050660,평동
24050670,삼도동
24050690,첨단1동
24050710,운남동
24050740,신가동
25010530,효동
25010550,판암1동
25010560,판암2동
25010570,용운동
25010600,자양동
25010630,가양1동
25010640,가양2동
25010650,용전동
25010680,홍도동
25010730,대청동
25010750,산내동
25010760,중앙동
25010770,신인동
25010780,대동
25010790,성남동
25010800,삼성동
25020510,은행선화동
25020530,목동
25020540,중촌동
25020550,대흥동
25020560,문창동
25020570,석교동
25020580,대사동
25020590,부사동
25020600,용두동
25020620,오류동
25020630,태평1동
25020640,태평2동
25020650,유천1동
25020660,유천2동
25020670,문화1동
25020680,문화2동
25020690,산성동
25030510,복수동
25030511,가수원동
25030512,도안동
25030520,도마1동
25030530,도마2동
25030540,정림동
25030550,변동
25030560,용문동
25030570,탄방동
25030590,둔산1동
25030600,둔산2동
25030610,괴정동
25030620,가장동
25030630,내동
25030640,갈마1동
25030650,갈마2동
25030660,월평1동
25030670,월평2동
25030680,월평3동
25030690,만년동
25030710,기성동
25030720,관저1동
25030730,관저2동
25030740,둔산3동
25040540,온천2동
25040550,신성동
25040570,전민동
25040590,노은1동
25040610,구즉동
25040630,관평동
25040640,온천1동
25040660,노은2동
25040670,노은3동
25040680,진잠동
25040690,학하동
25040700,상대동
25040710,원신흥동
25050510,오정동
25050520,대화동
25050530,회덕동
25050540,비래동
25050550,중리동
25050560,법1동
25050570,법2동
25050580,신탄진동
25050590,석봉동
25050600,덕암동
25050610,목상동
25050620,송촌동
26010510,학성동
26010520,반구1동
26010530,반구2동
26010590,우정동
26010600,태화동
26010610,다운동
26010620,병영1동
26010630,병영2동
26010640,약사동
26010660,성안동
26010670,중앙동
26010681,복산동
26020510,신정1동
26020520,신정2동
26020530,신정3동
26020540,신정4동
26020550,신정5동
26020560,달동
26020570,삼산동
26020580,삼호동
26020590,무거동
26020600,옥동
26020610,야음장생포동
26020620,대현동
26020630,수암동
26020640,선암동
26030510,방어동
26030520,일산동
26030530,화정동
26030540,대송동
26030550,전하1동
26030580,남목1동
26030590,남목2동
26030600,남목3동
26030610,전하2동
26040510,농소1동
26040520,농소2동
26040530,농소3동
26040540,강동동
26040560,효문동
26040570,송정동
26040580,양정동
26040590,염포동
26510110,온산읍
26510120,언양읍
26510130,온양읍
26510140,범서읍
26510150,청량읍
26510160,삼남읍
26510310,서생면
26510340,웅촌면
26510360,두동면
26510370,두서면
26510380,상북면
26510400,삼동면
29010110,조치원읍
29010311,연기면
29010312,연동면
29010330,부강면
29010340,금남면
29010350,장군면
29010360,연서면
29010370,전의면
29010380,전동면
29010390,소정면
29010512,해밀동
29010513,반곡동
29010514,도담동
29010515,어진동
29010521,새롬동
29010522,나성동
29010560,종촌동
29010590,아름동
29010600,고운동
29010610,한솔동
29010640,대평동
29010660,보람동
29010680,다정동
29010710,소담동
31011540,파장동
31011550,율천동
31011560,정자1동
31011570,정자2동
31011580,영화동
31011590,송죽동
31011600,조원1동
31011610,연무동
31011620,정자3동
31011630,조원2동
31012520,세류1동
31012530,세류2동
31012540,세류3동
31012550,평동
31012560,서둔동
31012570,구운동
31012600,권선1동
31012610,곡선동
31012620,입북동
31012640,권선2동
31012650,금곡동
31012660,호매실동
31013530,지동
31013540,우만1동
31013550,우만2동
31013560,인계동
31013670,매교동
31013680,매산동
31013690,고등동
31013700,화서1동
31013710,화서2동
31013720,행궁동
31014510,매탄1동
31014520,매탄2동
31014530,매탄3동
31014540,매탄4동
31014600,원천동
31014620,광교1동
31014630,광교2동
31014640,영통1동
31014650,영통2동
31014660,영통3동
31014670,망포1동
31014680,망포2동
31021510,신흥1동
31021520,신흥2동
31021530,신흥3동
31021540,태평1동
31021550,태평2동
31021560,태평3동
31021570,태평4동
31021580,수진1동
31021590,수진2동
31021600,단대동
31021610,산성동
31021620,양지동
31021640,신촌동
31021650,고등동
31021660,시흥동
31021670,복정동
31021680,위례동
31022510,성남동
31022530,금광1동
31022540,금광2동
31022550,은행1동
31022560,은행2동
31022570,상대원1동
31022580,상대원2동
31022590,상대원3동
31022600,하대원동
31022610,도촌동
31022620,중앙동
31023510,분당동
31023520,수내3동
31023530,수내1동
31023540,수내2동
31023550,정자2동
31023560,정자3동
31023580,서현1동
31023590,서현2동
31023600,이매1동
31023610,이매2동
31023620,야탑1동
31023630,야탑3동
31023640,야탑2동
31023670,구미동
31023680,운중동
31023710,금곡동
31023720,구미1동
31023740,삼평동
31023750,판교동
31023760,백현동
31023770,정자1동
31023780,정자동
31030520,의정부2동
31030550,호원1동
31030560,장암동
31030570,신곡1동
31030580,신곡2동
31030591,송산1동
31030600,자금동
31030640,녹양동
31030650,호원2동
31030670,흥선동
31030680,가능동
31030690,의정부1동
31030700,송산2동
31030710,송산3동
31030721,고산동
31041510,안양1동
31041520,안양2동
31041530,안양3동
31041540,안양4동
31041550,안양5동
31041560,안양6동
31041570,안양7동
31041580,안양8동
31041590,안양9동
31041600,석수1동
31041610,석수2동
31041630,박달1동
31041640,박달2동
31041651,충훈동
31042510,비산1동
31042520,비산2동
31042530,비산3동
31042540,부흥동
31042550,달안동
31042580,부림동
31042590,평촌동
31042600,평안동
31042610,귀인동
31042620,호계1동
31042630,호계2동
31042640,호계3동
31042650,범계동
31042660,신촌동
31042670,갈산동
31042681,관양동
